text,label
Fue un día gris y desalentador esta vez,tristeza
Realmente No soporto que ignoren mis mensajes,enojo
Me dejó boquiabierto el anuncio hoy,sorpresa
Realmente Siento pánico al presentar el proyecto hoy,miedo
Siento pánico al presentar el proyecto esta vez,miedo
Realmente El proceso terminó sin errores esta vez,neutral
Realmente Qué alegría verlos a todos,alegria
Me produce náuseas esa imagen esta vez,asco
Fue completamente inesperado hoy,sorpresa
El informe fue entregado a tiempo esta vez,neutral
Realmente Estoy muy feliz con los resultados,alegria
Realmente No tengo ánimos para seguir,tristeza
Realmente Me encanta cómo quedó el proyecto,alegria
Siento rechazo por esa actitud esta vez,asco
Me asombró la rapidez del proceso hoy,sorpresa
Realmente Fue completamente inesperado esta vez,sorpresa
Realmente Siento rechazo por esa actitud esta vez,asco
Realmente Excelente noticia para empezar el día,alegria
Qué rabia perder el tiempo esta vez,enojo
Realmente Qué rabia perder el tiempo hoy,enojo
Realmente Fue completamente inesperado hoy,sorpresa
Realmente Hoy es martes y hay clases esta vez,neutral
Las noticias me dejaron deprimido hoy,tristeza
Realmente Fue una experiencia maravillosa esta vez,alegria
La reunión duró una hora,neutral
Realmente Qué desagradable fue la comida esta vez,asco
Estoy furioso con el servicio recibido,enojo
Realmente Fue un día gris y desalentador,tristeza
Me disgusta su forma de hablar hoy,asco
Realmente Tengo miedo de fallar esta vez,miedo
Realmente Qué rabia perder el tiempo,enojo
El informe fue entregado a tiempo hoy,neutral
Tengo el corazón roto,tristeza
Realmente Estoy harto de los retrasos esta vez,enojo
Realmente El proceso terminó sin errores hoy,neutral
Realmente Fue completamente inesperado,sorpresa
Me indigna la falta de respeto,enojo
Me indigna la falta de respeto hoy,enojo
Me encanta cómo quedó el proyecto,alegria
Realmente Tengo miedo de fallar hoy,miedo
Esto es inaceptable y me molesta,enojo
Realmente Fue una experiencia maravillosa,alegria
No soporto que ignoren mis mensajes esta vez,enojo
Realmente Me dejó boquiabierto el anuncio esta vez,sorpresa
Realmente La reunión duró una hora hoy,neutral
Realmente Qué alegría verlos a todos hoy,alegria
Realmente El informe fue entregado a tiempo esta vez,neutral
Realmente Siento pánico al presentar el proyecto esta vez,miedo
Fue un día gris y desalentador,tristeza
Realmente La reunión duró una hora,neutral
Realmente Estoy asustado por el examen hoy,miedo
Realmente Estoy asustado por el examen,miedo
Realmente Me dejó boquiabierto el anuncio hoy,sorpresa
Siento pánico al presentar el proyecto hoy,miedo
Realmente Estoy muy feliz con los resultados hoy,alegria
Realmente No tengo ánimos para seguir hoy,tristeza
Realmente No me lo esperaba para nada hoy,sorpresa
Estoy furioso con el servicio recibido hoy,enojo
Realmente Jamás imaginé ese resultado esta vez,sorpresa
Realmente Estoy muy feliz con los resultados esta vez,alegria
Las noticias me dejaron deprimido,tristeza
Realmente ¡Qué sorpresa tan grande! hoy,sorpresa
Tengo miedo de fallar esta vez,miedo
Tengo miedo de fallar,miedo
Realmente El sistema registró la operación esta vez,neutral
Estoy contento con mi desempeño,alegria
Me asombró la rapidez del proceso esta vez,sorpresa
Realmente Fue un día gris y desalentador hoy,tristeza
Realmente Siento rechazo por esa actitud,asco
Estoy muy feliz con los resultados esta vez,alegria
Qué desagradable fue la comida hoy,asco
Qué desagradable fue la comida,asco
Realmente Esto es inaceptable y me molesta esta vez,enojo
Realmente El informe fue entregado a tiempo hoy,neutral
Realmente Me repugna la falta de higiene,asco
Fue completamente inesperado,sorpresa
Realmente Fue un día gris y desalentador esta vez,tristeza
Realmente Me preocupa no lograrlo esta vez,miedo
Realmente Me produce náuseas esa imagen hoy,asco
Realmente Estoy furioso con el servicio recibido esta vez,enojo
Esto es inaceptable y me molesta hoy,enojo
Realmente Me indigna la falta de respeto,enojo
Me siento muy triste por la situación esta vez,tristeza
Realmente ¡Qué sorpresa tan grande! esta vez,sorpresa
Me encanta cómo quedó el proyecto hoy,alegria
Realmente No soporto que ignoren mis mensajes hoy,enojo
Realmente El archivo se guardó correctamente,neutral
Realmente Las noticias me dejaron deprimido hoy,tristeza
Realmente Estoy contento con mi desempeño,alegria
Estoy muy feliz con los resultados,alegria
Realmente Ese comportamiento me da asco hoy,asco
Realmente No me lo esperaba para nada esta vez,sorpresa
